"bookRank","author","authorRank","title","avg_rating","num_ratings","publication_year","num_pages","titleLength","book_series"
5,"Faith Hunter",31,"Death's Rival",4.29,10089,2012,336,35,"Jane Yellowrock"
6,"Faith Hunter",31,"Blood Trade",4.27,8211,2013,337,33,"Jane Yellowrock"
7,"Faith Hunter",31,"Black Arts",4.34,6917,2014,325,32,"Jane Yellowrock"
8,"Faith Hunter",31,"Broken Soul",4.34,5780,2014,329,33,"Jane Yellowrock"
9,"Faith Hunter",31,"Dark Heir",4.3,4698,2015,363,31,"Jane Yellowrock"
10,"Faith Hunter",31,"Bloodring",3.7,3834,2006,336,26,"Rogue Mage"
1,"Terry Pratchett",32,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25,293770,2006,430,67,""
2,"Terry Pratchett",32,"The Color of Magic",3.96,201166,2005,228,48,"Discworld #1; Rincewind"
3,"Terry Pratchett",32,"Mort",4.2,127317,2001,243,31,"Discworld #4; Death"
4,"Terry Pratchett",32,"Guards! Guards!",4.3,107375,2001,376,46,"Discworld #8; City Watch"
5,"Terry Pratchett",32,"Equal Rites",3.98,93050,2005,228,39,"Discworld #3; Witches"
6,"Terry Pratchett",32,"Night Watch",4.46,74557,2011,480,44,"Discworld #29; City Watch"
7,"Terry Pratchett",32,"Going Postal",4.35,76100,2005,394,51,"Discworld #33; Moist von Lipwig"
8,"Terry Pratchett",32,"Small Gods",4.26,75502,2005,400,27,"Discworld"
9,"Terry Pratchett",32,"The Light Fantastic",3.93,80692,2000,241,49,"Discworld #2; Rincewind"
10,"Terry Pratchett",32,"The Wee Free Men",4.25,65717,2004,390,53,"Discworld #30; Tiffany Aching"
1,"Blake Crouch",33,"Pines",3.87,53072,2012,309,25,"Wayward Pines"
2,"Blake Crouch",33,"Wayward",4.12,28222,2013,298,27,"Wayward Pines"
3,"Blake Crouch",33,"The Last Town",4.09,25400,NA,308,33,"Wayward Pines"
4,"Blake Crouch",33,"Dark Matter",4.13,21515,2016,342,11,""
5,"Blake Crouch",33,"Abandon",3.72,7971,2009,406,7,""
6,"Blake Crouch",33,"Run",3.88,7005,2011,284,3,""
7,"Blake Crouch",33,"Snowbound",3.71,3929,2010,320,9,""
8,"Blake Crouch",33,"Desert Places",3.88,3594,2004,309,47,"Andrew Z. Thomas/Luther Kite"
9,"Blake Crouch",33,"Locked Doors",4.06,2321,NA,310,46,"Andrew Z. Thomas/Luther Kite"
10,"Blake Crouch",33,"Draculas",3.86,2324,2010,326,8,""
1,"Karpov Kinrade",34,"Vampire Girl",4.08,3988,NA,NA,31,"Vampire Girl"
2,"Karpov Kinrade",34,"Court of Nightfall",4.01,2415,2014,494,49,"The Nightfall Chronicles"
3,"Karpov Kinrade",34,"Midnight Star",4.37,2021,2016,284,32,"Vampire Girl"
4,"Karpov Kinrade",34,"Forbidden Mind",3.73,1855,2013,220,30,"Forbidden"
5,"Karpov Kinrade",34,"House of Ravens",4.32,1560,2015,548,46,"The Nightfall Chronicles"
6,"Karpov Kinrade",34,"Seduced by Power: Rose's Trilogy",4.08,830,2013,NA,55,"The Seduced Saga"
7,"Karpov Kinrade",34,"Song of Kai",4.32,559,2015,NA,44,"The Nightfall Chronicles"
8,"Karpov Kinrade",34,"Night of Nyx",4.06,514,2015,NA,46,"The Nightfall Chronicles"
9,"Karpov Kinrade",34,"Forbidden Fire",4.12,476,NA,NA,30,"Forbidden"
10,"Karpov Kinrade",34,"Forbidden Life",4.16,352,2012,NA,30,"Forbidden"
1,"Ilona Andrews",35,"Magic Bites",4.06,68132,2007,260,30,"Kate Daniels"
2,"Ilona Andrews",35,"Magic Strikes",4.44,50432,2009,310,32,"Kate Daniels"
3,"Ilona Andrews",35,"Magic Bleeds",4.46,49579,2010,349,31,"Kate Daniels"
4,"Ilona Andrews",35,"Magic Burns",4.33,49925,2008,260,30,"Kate Daniels"
5,"Ilona Andrews",35,"Magic Slays",4.44,43896,2011,308,30,"Kate Daniels"
6,"Ilona Andrews",35,"Magic Rises",4.49,29677,2013,327,30,"Kate Daniels"
7,"Ilona Andrews",35,"Magic Breaks",4.53,23619,2014,381,31,"Kate Daniels"
8,"Ilona Andrews",35,"On the Edge",4.02,25729,2009,309,26,"The Edge"
9,"Ilona Andrews",35,"Gunmetal Magic",4.27,22206,2012,326,35,"Kate Daniels"
10,"Ilona Andrews",35,"Magic Shifts",4.48,17038,2015,342,31,"Kate Daniels"
1,"Jamie Campbell",36,"Cinderella Is Evil",3.44,1305,NA,30,43,"Fairy Tales Retold"
2,"Jamie Campbell",36,"A Hairy Tail",3.96,443,2013,38,31,"A Hairy Tail"
3,"Jamie Campbell",36,"Star Struck",3.5,414,2014,70,29,"Star Kissed"
4,"Jamie Campbell",36,"Through a Tangled Wood",3.45,163,NA,NA,22,""
5,"Jamie Campbell",36,"Star Kissed",3.86,141,2014,70,33,"The Star Kissed"
6,"Jamie Campbell",36,"Ignite",3.62,148,2013,47,32,"Project Integrate"
7,"Jamie Campbell",36,"A World Without Angels",3.75,96,2013,300,44,"The Aron Angels"
8,"Jamie Campbell",36,"Unite",3.52,83,2013,288,29,"Project Integrate"
9,"Jamie Campbell",36,"Starburst",3.93,72,2014,70,27,"Star Kissed"
10,"Jamie Campbell",36,"Saving Rapunzel",3.88,66,2013,NA,40,"Fairy Tales Retold"
1,"Will Wight",37,"House of Blades",4.08,6339,2013,294,49,"The Traveler's Gate Trilogy"
2,"Will Wight",37,"The Crimson Vault",4.18,4881,2013,386,51,"The Traveler's Gate Trilogy"
3,"Will Wight",37,"City of Light",4.15,3638,2014,394,47,"The Traveler's Gate Trilogy"
4,"Will Wight",37,"Unsouled",4.32,1098,NA,NA,24,""
5,"Will Wight",37,"Soulsmith",4.52,706,NA,NA,25,""
6,"Will Wight",37,"Tower of Winter",4.03,752,NA,NA,63,"The Traveler's Gate Chronicles: Collection"
7,"Will Wight",37,"Of Shadow and Sea",4.12,666,NA,NA,47,"The Elder Empire: Shadow"
8,"Will Wight",37,"Gardens of Mist",4.06,649,NA,NA,63,"The Traveler's Gate Chronicles: Collection"
9,"Will Wight",37,"The Lightning Wastes",4.16,624,NA,NA,68,"The Traveler's Gate Chronicles: Collection"
10,"Will Wight",37,"Of Sea and Shadow",4.3,548,NA,NA,44,"The Elder Empire: Sea"
1,"Laurell K. Hamilton",38,"Guilty Pleasures",4.01,109280,2004,355,50,"Anita Blake Vampire Hunter"
2,"Laurell K. Hamilton",38,"Circus of the Damned",4.16,77895,2007,320,54,"Anita Blake Vampire Hunter"
3,"Laurell K. Hamilton",38,"The Laughing Corpse",4.11,65963,2005,301,53,"Anita Blake Vampire Hunter"
4,"Laurell K. Hamilton",38,"The Lunatic Cafe",4.12,61090,2005,352,49,"Anita Blake Vampire Hunter"
5,"Laurell K. Hamilton",38,"Bloody Bones",4.1,59401,2005,336,45,"Anita Blake Vampire Hunter"
6,"Laurell K. Hamilton",38,"The Killing Dance",4.12,57505,2006,368,51,"Anita Blake Vampire Hunter"
7,"Laurell K. Hamilton",38,"Burnt Offerings",4.06,54082,2002,392,49,"Anita Blake Vampire Hunter"
8,"Laurell K. Hamilton",38,"Blue Moon",4.04,53133,2002,418,43,"Anita Blake Vampire Hunter"
9,"Laurell K. Hamilton",38,"Obsidian Butterfly",4.07,52295,2002,596,52,"Anita Blake Vampire Hunter"
10,"Laurell K. Hamilton",38,"Narcissus in Chains",3.89,47609,2002,644,54,"Anita Blake Vampire Hunter"
1,"Alice Hoffman",39,"The Dovekeepers",4.01,50311,2011,504,15,""
2,"Alice Hoffman",39,"Here on Earth",3.67,37961,1999,336,13,""
3,"Alice Hoffman",39,"Practical Magic",3.8,33296,2003,286,15,""
4,"Alice Hoffman",39,"The Museum of Extraordinary Things",3.72,31169,2014,368,34,""
5,"Alice Hoffman",39,"The Marriage of Opposites",3.85,25973,2015,371,25,""
6,"Alice Hoffman",39,"The Red Garden",3.68,13664,2011,270,14,""
7,"Alice Hoffman",39,"The Ice Queen",3.5,13152,2006,211,13,""
8,"Alice Hoffman",39,"The Story Sisters",3.8,11226,2009,325,17,""
9,"Alice Hoffman",39,"The Probable Future",3.82,10728,2004,322,19,""
10,"Alice Hoffman",39,"Blackbird House",3.81,8777,2005,238,15,""
1,"Nicholas Sansbury Smith",40,"Extinction Horizon",3.94,2719,NA,NA,45,"The Extinction Cycle"
2,"Nicholas Sansbury Smith",40,"Extinction Edge",4.21,1560,NA,NA,42,"The Extinction Cycle"
3,"Nicholas Sansbury Smith",40,"Extinction Age",4.34,1240,NA,NA,41,"The Extinction Cycle"
4,"Nicholas Sansbury Smith",40,"Orbs",3.49,1459,2013,328,14,"Orbs"
5,"Nicholas Sansbury Smith",40,"Extinction Evolution",4.37,1029,NA,NA,47,"The Extinction Cycle"
6,"Nicholas Sansbury Smith",40,"Extinction End",4.38,829,NA,450,41,"The Extinction Cycle"
7,"Nicholas Sansbury Smith",40,"Hell Divers",4.07,771,2016,NA,28,"Hell Divers"
8,"Nicholas Sansbury Smith",40,"Stranded",4.07,479,NA,269,18,"Orbs"
9,"Nicholas Sansbury Smith",40,"Redemption",4.09,335,NA,NA,20,"Orbs"
10,"Nicholas Sansbury Smith",40,"Solar Storms",3.78,310,NA,NA,24,"Orbs"
1,"James Maxwell",41,"Enchantress",3.91,6753,NA,NA,30,"Evermen Saga"
2,"James Maxwell",41,"The Hidden Relic",4.06,4360,2014,496,35,"Evermen Saga"
3,"James Maxwell",41,"The Path of the Storm",4.17,3511,NA,496,40,"Evermen Saga"
4,"James Maxwell",41,"The Lore of the Evermen",4.28,3283,NA,514,42,"Evermen Saga"
5,"James Maxwell",41,"Golden Age",3.83,1694,2016,466,35,"The Shifting Tides"
6,"James Maxwell",41,"Seven Words of Power",3.96,303,NA,71,35,""
7,"James Maxwell",41,"Silver Road",4.38,34,NA,494,39,""
1,"Christine Feehan",42,"Dark Prince",4.01,39852,2005,447,22,"Dark"
2,"Christine Feehan",42,"Dark Desire",4.19,22273,2005,369,22,"Dark"
3,"Christine Feehan",42,"Dark Magic",4.24,20645,2000,358,21,"Dark"
4,"Christine Feehan",42,"Dark Gold",4.16,19843,2007,382,20,"Dark"
5,"Christine Feehan",42,"Dark Fire",4.29,17954,2001,390,20,"Dark"
6,"Christine Feehan",42,"Dark Guardian",4.33,17339,2002,384,24,"Dark"
7,"Christine Feehan",42,"Dark Challenge",4.22,17647,NA,NA,25,"Dark"
8,"Christine Feehan",42,"Dark Legend",4.33,16321,2002,382,22,"Dark"
9,"Christine Feehan",42,"Dark Demon",4.33,15812,2006,560,22,"Dark"
10,"Christine Feehan",42,"Dark Destiny",4.28,14496,2004,383,24,"Dark"
1,"Katherine Kurtz",43,"Deryni Rising",3.93,5548,1976,271,47,"The Chronicles of the Deryni"
2,"Katherine Kurtz",43,"High Deryni",4.02,5151,NA,NA,45,"The Chronicles of the Deryni"
3,"Katherine Kurtz",43,"Camber the Heretic",4,4856,1981,506,59,"The Legends of the Camber of Culdi"
4,"Katherine Kurtz",43,"Camber of Culdi",3.89,4039,1987,314,52,"The Legends of Camber of Culdi"
5,"Katherine Kurtz",43,"Saint Camber",4,3783,NA,449,49,"The Legends of Camber of Culdi"
6,"Katherine Kurtz",43,"Deryni Checkmate",4,3429,1987,302,51,"The Chronicles of the Deryni"
7,"Katherine Kurtz",43,"The Quest for Saint Camber",4.05,3131,1992,451,61,"The Histories of King Kelson"
8,"Katherine Kurtz",43,"The Bishop's Heir",4.08,2907,1987,363,48,"Histories of King Kelson"
9,"Katherine Kurtz",43,"The King's Justice",4.1,2602,1987,322,53,"The Histories of King Kelson"
10,"Katherine Kurtz",43,"The Harrowing of Gwynedd",4.04,1838,1989,432,55,"The Heirs of Saint Camber"
1,"Gina LaManna",44,"Hex on the Beach",3.89,954,NA,NA,58,"The Magic & Mixology Mystery Series"
2,"Gina LaManna",44,"Witchy Sour",4.33,815,NA,NA,52,"The Magic & Mixology Mystery Series"
3,"Gina LaManna",44,"Sprinkled",3.63,819,NA,NA,43,"Lacey Luzzi Mafia Mysteries"
4,"Gina LaManna",44,"Sparkled",4.16,466,2015,NA,41,"Lacey Luzzi Mafia Mysteries"
5,"Gina LaManna",44,"Salted",4.32,418,NA,NA,39,"Lacey Luzzi Mafia Mysteries"
6,"Gina LaManna",44,"Sauced",4.39,385,NA,NA,40,"Lacey Luzzi Mafia Mysteries"
7,"Gina LaManna",44,"S'mored",4.38,336,NA,NA,40,"Lacey Luzzi Mafia Mysteries"
8,"Gina LaManna",44,"Spooked",4.44,304,NA,NA,40,"Lacey Luzzi Mafia Mysteries"
9,"Gina LaManna",44,"Seasoned",4.55,269,NA,NA,41,"Lacey Luzzi Mafia Mysteries"
10,"Gina LaManna",44,"Spiced",4.57,224,NA,NA,39,"Lacey Luzzi Mafia Mysteries"
1,"Mercedes Lackey",45,"Arrows of the Queen",4.16,26010,1987,320,45,"Heralds of Valdemar"
2,"Mercedes Lackey",45,"Magic's Pawn",4.21,19295,1989,349,44,"Valdemar: Last Herald-Mage"
3,"Mercedes Lackey",45,"By the Sword",4.23,17063,1991,492,12,""
4,"Mercedes Lackey",45,"Arrow's Fall",4.18,17061,1988,319,38,"Heralds of Valdemar"
5,"Mercedes Lackey",45,"Magic's Price",4.26,16700,1990,336,45,"Valdemar: Last Herald-Mage"
6,"Mercedes Lackey",45,"Arrow's Flight",4.13,16915,1987,318,40,"Heralds of Valdemar"
7,"Mercedes Lackey",45,"Magic's Promise",4.2,16190,1990,320,47,"Valdemar: Last Herald-Mage"
8,"Mercedes Lackey",45,"The Fairy Godmother",3.96,14806,2004,479,47,"Five Hundred Kingdoms"
9,"Mercedes Lackey",45,"Winds of Fate",4.01,13203,1992,458,39,"Valdemar: Mage Winds"
10,"Mercedes Lackey",45,"Oathbreakers",4.15,12554,1989,279,43,"Valdemar: Vows and Honor"
1,"K.R. Thompson",46,"Hidden Moon",4.01,400,2013,370,33,"The Keeper Saga"
2,"K.R. Thompson",46,"Pan: The Untold Stories of Neverland",3.68,258,2015,102,36,""
3,"K.R. Thompson",46,"Hook",4.2,188,2014,282,4,""
4,"K.R. Thompson",46,"Once Upon a Haunted Moon",4.12,164,2013,242,46,"The Keeper Saga"
5,"K.R. Thompson",46,"The Wolf",4.11,118,2014,92,30,"The Keeper Saga"
6,"K.R. Thompson",46,"Wynter's War",4.29,59,2015,254,34,"The Keeper Saga"
7,"K.R. Thompson",46,"Nerida",4.33,27,2015,175,44,"The Untold Stories of Neverland"
8,"K.R. Thompson",46,"Charmed",4.11,28,NA,116,29,"The Keeper Saga"
9,"K.R. Thompson",46,"Jack",4.68,19,NA,NA,45,""
10,"K.R. Thompson",46,"Haunted: Ghost Children: A Collection of Stories from Beyond",3.82,22,NA,NA,60,""
1,"Victor Kloss",47,"Elizabeth's Legacy",4.06,1183,2014,245,49,"Royal Institute of Magic"
2,"Victor Kloss",47,"The Shadowseeker",4.32,547,NA,NA,47,"Royal Institute of Magic"
3,"Victor Kloss",47,"The Protectors",4.34,460,NA,NA,49,""
4,"Victor Kloss",47,"The Silver Dwarf",4.5,399,NA,NA,51,""
5,"Victor Kloss",47,"The Last Guardian",4.58,307,NA,NA,52,""
6,"Victor Kloss",47,"Royal Institute of Magic: Books 1-3",4.36,66,NA,NA,35,""
7,"Victor Kloss",47,"Royal Institute of Magic",0,0,NA,NA,24,""
1,"Anne Rice",48,"Interview with the Vampire",3.97,377708,2004,342,55,"The Vampire Chronicles"
2,"Anne Rice",48,"The Vampire Lestat",4.04,143478,2004,481,47,"The Vampire Chronicles"
3,"Anne Rice",48,"The Queen of the Damned",3.85,111630,1997,448,52,"The Vampire Chronicles"
4,"Anne Rice",48,"The Witching Hour",4.1,83567,2004,1207,52,"Lives of the Mayfair Witches"
5,"Anne Rice",48,"The Tale of the Body Thief",3.7,68875,1997,468,55,"The Vampire Chronicles"
6,"Anne Rice",48,"Memnoch the Devil",3.73,64465,1999,354,46,"The Vampire Chronicles"
7,"Anne Rice",48,"The Vampire Armand",3.74,55187,2000,457,47,"The Vampire Chronicles"
8,"Anne Rice",48,"Lasher",3.83,47954,2004,883,41,"Lives of the Mayfair Witches"
9,"Anne Rice",48,"Taltos",3.78,42726,1994,4,41,"Lives of the Mayfair Witches"
10,"Anne Rice",48,"The Mummy",3.81,36843,2004,480,9,""
1,"Amanda M. Lee",49,"Any Witch Way You Can",4.01,4204,2012,320,57,"Wicked Witches of the Midwest"
2,"Amanda M. Lee",49,"Every Witch Way But Wicked",4.21,2799,2013,NA,62,"Wicked Witches of the Midwest"
3,"Amanda M. Lee",49,"Witching You Were Here",4.27,2255,NA,NA,58,"Wicked Witches of the Midwest"
4,"Amanda M. Lee",49,"Witching on a Star",4.34,2057,NA,391,54,"Wicked Witches of the Midwest"
5,"Amanda M. Lee",49,"Something to Witch About",4.39,1951,NA,NA,60,"Wicked Witches of the Midwest"
6,"Amanda M. Lee",49,"Witch Me Luck",4.41,1782,NA,NA,49,"Wicked Witches of the Midwest"
7,"Amanda M. Lee",49,"Life's a Witch",4.49,1460,NA,NA,49,"Wicked Witches of the Midwest"
8,"Amanda M. Lee",49,"Charms & Witchdemeanors",4.54,1108,NA,384,58,"Wicked Witches of the Midwest"
9,"Amanda M. Lee",49,"Witchy Tales: A Wicked Witches of the Midwest Fairy Tale",4.31,1117,NA,NA,56,""
10,"Amanda M. Lee",49,"Wicked Brew",4.42,1026,NA,NA,54,"Wicked Witches of the Midwest Shorts"
1,"Robin Hobb",50,"Assassin's Apprentice",4.13,144336,1996,480,43,"Farseer Trilogy"
2,"Robin Hobb",50,"Royal Assassin",4.2,90755,1997,752,36,"Farseer Trilogy"
3,"Robin Hobb",50,"Assassin's Quest",4.17,73940,1998,757,38,"Farseer Trilogy"
4,"Robin Hobb",50,"Fool's Errand",4.27,50955,2002,661,29,"Tawny Man"
5,"Robin Hobb",50,"Fool's Fate",4.36,44317,2004,914,27,"Tawny Man"
6,"Robin Hobb",50,"Golden Fool",4.31,43782,2003,709,27,"Tawny Man"
7,"Robin Hobb",50,"Ship of Magic",4.11,38349,1999,880,36,"Liveship Traders"
8,"Robin Hobb",50,"Ship of Destiny",4.2,31699,2001,789,38,"Liveship Traders"
9,"Robin Hobb",50,"The Mad Ship",4.2,31321,2008,906,35,"Liveship Traders"
10,"Robin Hobb",50,"Fool's Assassin",4.34,20519,2014,688,43,"The Fitz and the Fool"
1,"Marc Alan Edelheit",51,"Stiger's Tigers",4.21,885,2015,310,65,"Chronicles of An Imperial Legionary Officer"
2,"Marc Alan Edelheit",51,"The Tiger",4.36,641,2015,302,59,"Chronicles of An Imperial Legionary Officer"
3,"Marc Alan Edelheit",51,"The Tiger's Fate",4.28,467,2016,398,66,"Chronicles of An Imperial Legionary Officer"
4,"Marc Alan Edelheit",51,"The Tiger's Fate: Chronicles of An Imperial Legionary Officer",4.6,5,NA,NA,61,""
1,"Marv Wolfman",52,"Crisis on Infinite Earths",4.01,12706,2001,368,25,""
2,"Marv Wolfman",52,"Batman: A Lonely Place of Dying",4.01,3404,1998,NA,31,""
3,"Marv Wolfman",52,"The New Teen Titans: The Judas Contract",4.28,1583,1991,192,39,""
4,"Marv Wolfman",52,"Crisis on Infinite Earths",3.99,800,NA,NA,25,""
5,"Marv Wolfman",52,"John Carter of Mars: Warlord of Mars",4.21,387,2011,632,36,""
6,"Marv Wolfman",52,"The New Teen Titans: The Terror of Trigon",4.16,383,2003,144,41,""
7,"Marv Wolfman",52,"Essential Tomb of Dracula, Vol. 1",3.86,412,2004,560,33,""
8,"Marv Wolfman",52,"Superman Returns",3.63,407,2006,332,16,""
9,"Marv Wolfman",52,"The New Teen Titans Archives, Vol. 1",4.14,301,1999,240,36,""
10,"Marv Wolfman",52,"Superman: Infinite Crisis",3.34,369,2006,128,25,""
1,"Sherrilyn Kenyon",53,"Fantasy Lover",4.17,70498,2002,337,35,"Dark-Hunterverse"
2,"Sherrilyn Kenyon",53,"Night Pleasures",4.23,59473,2009,320,33,"Dark-Hunter"
3,"Sherrilyn Kenyon",53,"Dance with the Devil",4.39,52814,2003,343,37,"Dark-Hunter"
4,"Sherrilyn Kenyon",53,"Acheron",4.59,45529,2008,728,25,"Dark-Hunter"
5,"Sherrilyn Kenyon",53,"Night Embrace",4.25,45423,2006,408,31,"Dark-Hunter"
6,"Sherrilyn Kenyon",53,"Night Play",4.36,42862,2004,362,43,"Dark-Hunter #5 Were-Hunter"
7,"Sherrilyn Kenyon",53,"Seize the Night",4.36,37423,2005,339,32,"Dark-Hunter"
8,"Sherrilyn Kenyon",53,"Kiss of the Night",4.24,34972,2013,368,35,"Dark-Hunter"
9,"Sherrilyn Kenyon",53,"The Dream Hunter",4.06,35076,2007,340,51,"Dark-Hunter #10 Dream-Hunter"
10,"Sherrilyn Kenyon",53,"Unleash the Night",4.34,32641,2005,378,52,"Dark Hunter #8; Were-Hunter"
1,"Kevin Hearne",54,"Hounded",4.12,51904,2011,292,39,"The Iron Druid Chronicles"
2,"Kevin Hearne",54,"Hexed",4.22,40474,2011,296,37,"The Iron Druid Chronicles"
3,"Kevin Hearne",54,"Hammered",4.22,34477,2011,310,40,"The Iron Druid Chronicles"
4,"Kevin Hearne",54,"Tricked",4.25,30810,2012,341,39,"The Iron Druid Chronicles"
5,"Kevin Hearne",54,"Trapped",4.28,27897,2012,290,39,"The Iron Druid Chronicles"
6,"Kevin Hearne",54,"Hunted",4.3,22419,2013,384,38,"The Iron Druid Chronicles"
7,"Kevin Hearne",54,"Shattered",4.28,17190,2014,352,41,"The Iron Druid Chronicles"
8,"Kevin Hearne",54,"Two Ravens and One Crow",4.2,12286,2012,65,57,"The Iron Druid Chronicles"
9,"Kevin Hearne",54,"Staked",4.21,8602,2016,310,38,"The Iron Druid Chronicles"
10,"Kevin Hearne",54,"The Grimoire of the Lamb",4.15,7922,2013,64,58,"The Iron Druid Chronicles"
1,"C.N. Crawford",55,"Infernal Magic",4.01,427,NA,NA,45,"Demons of Fire and Night"
2,"C.N. Crawford",55,"Magic Hunter",4.03,408,2016,299,36,"The Vampire's Mage"
3,"C.N. Crawford",55,"The Witching Elm",3.66,252,NA,NA,46,"The Memento Mori Series"
4,"C.N. Crawford",55,"Witch Hunter",4.36,151,NA,NA,36,"The Vampire's Mage"
5,"C.N. Crawford",55,"A Witch's Feast",4.11,62,2015,310,45,"The Memento Mori Series"
6,"C.N. Crawford",55,"Witches of the Deep",4.24,34,NA,NA,59,""
7,"C.N. Crawford",55,"Nocturnal Magic",4.61,23,NA,NA,49,""
8,"C.N. Crawford",55,"The Abysmal Sea",4.13,15,2015,40,15,""
9,"C.N. Crawford",55,"The Dragonfly",4.67,3,2014,9,45,"The Memento Mori Series"
1,"Patricia Briggs",56,"Moon Called",4.18,124170,2006,288,32,"Mercy Thompson"
2,"Patricia Briggs",56,"Blood Bound",4.31,83809,2007,292,32,"Mercy Thompson"
3,"Patricia Briggs",56,"Iron Kissed",4.36,82809,2008,287,32,"Mercy Thompson"
4,"Patricia Briggs",56,"Bone Crossed",4.34,74395,2010,300,33,"Mercy Thompson"
5,"Patricia Briggs",56,"Silver Borne",4.38,72545,2010,342,33,"Mercy Thompson"
6,"Patricia Briggs",56,"Cry Wolf",4.11,66795,2008,294,28,"Alpha & Omega"
7,"Patricia Briggs",56,"River Marked",4.25,57752,2011,326,33,"Mercy Thompson"
8,"Patricia Briggs",56,"Hunting Ground",4.26,45121,2009,286,34,"Alpha & Omega"
9,"Patricia Briggs",56,"Frost Burned",4.34,43655,2013,342,33,"Mercy Thompson"
10,"Patricia Briggs",56,"Night Broken",4.42,33808,2014,341,33,"Mercy Thompson"
1,"Michael J. Sullivan",57,"Theft of Swords",4.2,31697,2011,681,44,"The Riyria Revelations"
2,"Michael J. Sullivan",57,"Rise of Empire",4.34,24276,2011,786,43,"The Riyria Revelations"
3,"Michael J. Sullivan",57,"Heir of Novron",4.45,23584,2012,932,43,"The Riyria Revelations"
4,"Michael J. Sullivan",57,"The Crown Tower",4.31,15550,2013,384,43,"The Riyria Chronicles"
5,"Michael J. Sullivan",57,"The Rose and the Thorn",4.38,11019,2013,347,50,"The Riyria Chronicles"
6,"Michael J. Sullivan",57,"The Crown Conspiracy",4.13,11165,NA,296,54,"The Riyria Revelations part"
7,"Michael J. Sullivan",57,"Avempartha",4.28,6181,NA,331,44,"The Riyria Revelations part"
8,"Michael J. Sullivan",57,"Nyphron Rising",4.31,5109,2009,350,43,"The Riyria Revelations"
9,"Michael J. Sullivan",57,"Wintertide",4.41,4876,NA,317,44,"The Riyria Revelations part"
10,"Michael J. Sullivan",57,"Percepliquis",4.53,4482,2012,620,46,"The Riyria Revelations part"
1,"Charlaine Harris",58,"Dead Until Dark",3.95,426232,2001,292,39,"Sookie Stackhouse"
2,"Charlaine Harris",58,"Living Dead in Dallas",3.97,203067,2004,291,45,"Sookie Stackhouse"
3,"Charlaine Harris",58,"Dead to the World",4.13,195327,2005,310,41,"Sookie Stackhouse"
4,"Charlaine Harris",58,"Club Dead",4.03,192022,2006,274,33,"Sookie Stackhouse"
5,"Charlaine Harris",58,"Dead as a Doornail",4.01,174221,2006,320,42,"Sookie Stackhouse"
6,"Charlaine Harris",58,"All Together Dead",4.06,169128,2007,323,41,"Sookie Stackhouse"
7,"Charlaine Harris",58,"Definitely Dead",4.02,168277,2007,342,39,"Sookie Stackhouse"
8,"Charlaine Harris",58,"From Dead to Worse",4.01,157400,2008,359,42,"Sookie Stackhouse"
9,"Charlaine Harris",58,"Dead and Gone",4.01,152398,2009,312,37,"Sookie Stackhouse"
10,"Charlaine Harris",58,"Dead in the Family",3.88,133600,2010,311,43,"Sookie Stackhouse"
1,"A.W. Exley",59,"Nefertiti's Heart",3.83,2459,2014,286,40,"Artifact Hunters"
2,"A.W. Exley",59,"Hatshepsut's Collar",4.12,918,NA,NA,41,"Artifact Hunters"
3,"A.W. Exley",59,"Ella, The Slayer",3.68,899,2015,234,16,""
4,"A.W. Exley",59,"Nero's Fiddle",4.21,573,2015,254,35,"Artifact Hunters"
5,"A.W. Exley",59,"The Unicorn's Tail",3.91,465,2015,101,42,"Artifact Hunters"
6,"A.W. Exley",59,"Moseh's Staff",4.29,366,2015,280,35,"Artifact Hunters"
7,"A.W. Exley",59,"Obsidian Eyes",4.04,278,2014,264,13,""
8,"A.W. Exley",59,"Heart of the Kraken",3.62,214,2015,NA,43,"Tales from Darjee"
9,"A.W. Exley",59,"The Missing Mechanical Mouse",4.03,74,2013,30,28,""
10,"A.W. Exley",59,"Henry, The Gaoler",3.68,60,NA,NA,37,"Serenity House"
1,"Cassandra Sky West",60,"With the Dawn",3.73,30,NA,NA,42,""
2,"Cassandra Sky West",60,"Blood Sacrifice",4.21,14,NA,NA,44,""
1,"Terry Goodkind",61,"Wizard's First Rule",4.12,173044,2003,836,40,"Sword of Truth"
2,"Terry Goodkind",61,"Stone of Tears",4.1,86015,1995,979,35,"Sword of Truth"
3,"Terry Goodkind",61,"Blood of the Fold",3.98,61204,1997,623,38,"Sword of Truth"
4,"Terry Goodkind",61,"Temple of the Winds",4.02,58372,2007,822,40,"Sword of Truth"
5,"Terry Goodkind",61,"Faith of the Fallen",4.11,53719,2001,785,40,"Sword of Truth"
6,"Terry Goodkind",61,"Soul of the Fire",3.86,48812,2000,788,37,"Sword of Truth"
7,"Terry Goodkind",61,"The Pillars of Creation",3.67,43412,2002,725,44,"Sword of Truth"
8,"Terry Goodkind",61,"Confessor",4.07,38151,2007,603,31,"Sword of Truth"
9,"Terry Goodkind",61,"Chainfire",3.95,38664,2005,756,30,"Sword of Truth"
10,"Terry Goodkind",61,"Naked Empire",3.81,39826,2004,736,33,"Sword of Truth"
1,"Scott Meyer",62,"Off to Be the Wizard",3.98,14618,2014,372,36,"Magic 2.0"
